timestamp_greece,rss_MB,MemoryObjectSendStream,MemoryObjectStreamState,Event,_AsyncGeneratorContextManager,_GeneratorContextManager,TaskState
2025-10-28 15:49:12,18.3359375,0,0,43,0,79,50
2025-10-28 15:49:17,18.33984375,0,0,43,0,79,50
2025-10-28 15:49:22,18.33984375,0,0,43,0,79,50
2025-10-28 15:49:27,18.33984375,0,0,43,0,79,50
2025-10-28 15:49:33,18.15625,0,0,43,0,79,50
2025-10-28 15:49:38,18.16015625,0,0,43,0,79,50
2025-10-28 15:49:43,18.16015625,0,0,43,0,79,50
2025-10-28 15:49:48,18.16015625,0,0,43,0,79,50
2025-10-28 15:49:54,18.1640625,0,0,43,0,79,50
2025-10-28 15:49:59,18.1640625,0,0,43,0,79,50
2025-10-28 15:50:04,18.16796875,0,0,43,0,79,50
2025-10-28 15:50:09,18.16796875,0,0,43,0,79,50
2025-10-28 15:50:15,18.16796875,0,0,43,0,79,50
2025-10-28 15:50:20,18.16796875,0,0,43,0,79,50
2025-10-28 15:50:25,18.16796875,0,0,43,0,79,50
2025-10-28 15:50:30,18.16796875,0,0,43,0,79,50
2025-10-28 15:50:36,18.171875,0,0,43,0,79,50
2025-10-28 15:50:41,18.171875,0,0,43,0,79,50
2025-10-28 15:50:46,18.17578125,0,0,43,0,79,50
2025-10-28 15:50:52,18.17578125,0,0,43,0,79,50
2025-10-28 15:50:57,18.17578125,0,0,43,0,79,50
2025-10-28 15:51:02,18.17578125,0,0,43,0,79,50
2025-10-28 15:51:08,18.1796875,0,0,43,0,79,50
2025-10-28 15:51:13,18.1796875,0,0,43,0,79,50
2025-10-28 15:51:18,18.1796875,0,0,43,0,79,50
2025-10-28 15:51:23,18.1796875,0,0,43,0,79,50
2025-10-28 15:51:29,18.1796875,0,0,43,0,79,50
2025-10-28 15:51:34,18.18359375,0,0,43,0,79,50
2025-10-28 15:51:39,18.18359375,0,0,43,0,79,50
2025-10-28 15:51:45,18.1875,0,0,43,0,79,50
2025-10-28 15:51:50,18.19140625,0,0,43,0,79,50
2025-10-28 15:51:56,18.1953125,0,0,43,0,79,50
2025-10-28 15:52:01,18.1953125,0,0,43,0,79,50
2025-10-28 15:52:06,18.1953125,0,0,43,0,79,50
